uid,D11,D22,D33,max_offdiag,phi,seconds
590,0.694637,0.694934,0.694797,1.802e-04,0.801331,0.48
591,0.639008,0.638855,0.639199,4.464e-04,0.768158,0.55
562,0.325125,0.325001,0.175104,2.296e-04,0.534144,4.72
563,0.290069,0.290040,0.150712,5.752e-04,0.502053,4.72
592,0.609948,0.609948,0.609948,1.732e-03,0.747498,0.53
593,0.572830,0.572735,0.572860,2.174e-04,0.716583,0.48
568,0.642606,0.429080,0.207711,5.245e-04,0.734809,4.43
569,0.619087,0.404555,0.194071,4.352e-04,0.711179,5.07
596,0.440080,0.440080,0.440152,1.879e-05,0.601624,0.58
597,0.400442,0.400506,0.400442,1.475e-03,0.571960,0.44
594,0.500314,0.500347,0.500643,5.354e-05,0.660248,0.46
595,0.466202,0.466217,0.466202,6.353e-04,0.630920,0.51
598,0.362438,0.362504,0.362202,9.118e-04,0.536438,0.38
599,0.316983,0.317025,0.317079,2.502e-05,0.493011,0.41
570,0.589933,0.383424,0.182853,5.736e-06,0.683174,5.25
571,0.541247,0.341980,0.162420,1.578e-04,0.635010,5.17
601,0.767964,0.767984,0.682455,1.150e-04,0.841064,0.56
